name,whisky_type,volume(cl),alcohol(%),alcohol_density,price(£),price_per_cl,style_body,style_richness,style_smoke,style_sweetness,country,region,casktype,cask_group,bottler,bottler_group,is_independent,colouring,age,vintage,bottling_decade,is_vintage,has_age,has_bottling_decade,is_nas,characters,nose,palate,finish,food_paring,reviews,is_no_note,url,strong_smoke,style_missing,flavour_note,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,body_tag,richness_tag,smoke_tag,sweetness_tag,flavour_pattern,family_combo,F1,F2
Whyte & Mackay 30 Year Old,blended,70.0,40.0,2800.0,299.0,4.271428571428571,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,30.0,,,0,1,0,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/84186/whyte-mackay-30-year-old,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
100 Pipers De LuxeBot.1980s,blended,75.0,40.0,3000.0,69.95,0.9326666666666668,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/84125/100-pipers-de-luxe-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ballantine's Gold Seal12 Year Old Bot.1980s,blended,100.0,43.0,4300.0,110.0,1.1,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/84115/ballantines-gold-seal-12-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Old Rarity De LuxeBot.1970s,blended,75.7,40.0,3028.0,199.0,2.628797886393659,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/84099/old-rarity-de-luxe-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Seagram's 100 PipersBot.1980s,blended,75.0,40.0,3000.0,79.95,1.066,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83964/seagrams-100-pipers-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ballantine's Gold Seal12 Year Old,blended,70.0,40.0,2800.0,99.95,1.427857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,,0,1,0,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83761/ballantines-gold-seal-12-year-old,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker Red LabelBot.1980s,blended,100.0,40.0,4000.0,150.0,1.5,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83514/johnnie-walker-red-label-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Anchor BlendBot.1960s,blended,70.0,40.0,2800.0,150.0,2.142857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1960.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83502/anchor-blend-bot1960s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Antiquary 12 Year OldBot.1980s,blended,100.0,43.0,4300.0,99.95,0.9995,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83152/antiquary-12-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Grand Old Parr De LuxeBot.1970s,blended,100.0,43.0,4300.0,175.0,1.75,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83135/grand-old-parr-de-luxe-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Grand Old Parr De LuxeBot.1970s,blended,113.0,40.0,4520.0,175.0,1.5486725663716814,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83134/grand-old-parr-de-luxe-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ballantine's 12 Year OldBot.1980s,blended,75.0,40.0,3000.0,135.0,1.8,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83132/ballantines-12-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ainslie's Choice Scotch WhiskyBot.1990s,blended,70.0,40.0,2800.0,99.95,1.427857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1990.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83131/ainslies-choice-scotch-whisky-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's Royal Reserve 20 Year OldBot.1970s,blended,75.0,43.0,3225.0,225.0,3.0,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,20.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83045/bells-royal-reserve-20-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Chivas Imperial 18 Year OldBot.1990s,blended,70.0,43.0,3010.0,199.0,2.842857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,18.0,,1990.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83022/chivas-imperial-18-year-old-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's 12 Year OldBot.1970s,blended,75.7,40.0,3028.0,110.0,1.453104359313078,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/83014/bells-12-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's Extra SpecialBot.1970s,blended,100.0,43.0,4300.0,150.0,1.5,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82994/bells-extra-special-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Old Parr Seasons Summer,blended,50.0,43.0,2150.0,125.0,2.5,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82804/old-parr-seasons-summer,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
AntiquaryBot.1970s,blended,75.7,40.0,3028.0,99.95,1.320343461030383,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82609/antiquary-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Whyte & Mackay 21 Year OldBot.1980s,blended,75.0,43.0,3225.0,199.0,2.6533333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,21.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,"Sour plum, alluring Chinese Shao Xin. Interesting aroma that evolves as it breathes. Soft but so well texturized. Creamy, yet herbs at the same time. Complex and rounded. Warm scones, baked cherries.Velvety, touch of oldies scent of the oak, gentle sherry sweetness, quinine, colaMedium, finished gracefully, and be mesmerized with the chews of the fine sherry sweetnessSurprisingly good. Fine old cask.",1,https://www.thewhiskyexchange.com/p/82590/whyte-mackay-21-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Long JohnBot.1980s,blended,75.0,40.0,3000.0,79.95,1.066,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82574/long-john-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Vat 69Bot.1970s,blended,75.0,44.0,3300.0,275.0,3.6666666666666665,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82585/vat-69-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Woven Hemisphere Whisky,blended,70.0,51.4,3598.0,52.5,0.75,3.0,4.0,3.0,3.0,scotland,unknown_scotland,not specified,unknown,,woven,1,Unknown,,,,0,0,0,1,"Mixed Herb, Smoke, Lemon, Malt, Honeycomb",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/82552/woven-hemisphere-whisky,1,0,"Mixed Herb, Smoke, Lemon, Malt, Honeycomb",0,1,0,0,0,0,0,0,0,0,0,0,0,0,medium,rich,smoky,balanced,medium_rich_smoky_balanced,"('fruity',)",0.050971649914737356,1.0952431060520598
Woven SuperBlend,blended,70.0,46.1,3227.0,48.95,0.6992857142857143,3.0,4.0,1.0,3.0,scotland,unknown_scotland,not specified,unknown,,woven,1,Unknown,,,,0,0,0,1,"Honeysuckle, Rosemary, Stewed Fruit, Barley",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/82551/woven-superblend,0,0,"Honeysuckle, Rosemary, Stewed Fruit, Barley",0,0,1,0,0,0,0,0,0,1,0,0,0,0,medium,rich,light_smoke,balanced,medium_rich_light_smoke_balanced,"('floral', 'malty')",0.0016856100228161775,0.151726513069687
White HorseBot.1980s,blended,100.0,43.0,4300.0,150.0,1.5,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82472/white-horse-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Royal Salute 21 Year Old Harris Reed EditionPink Flagon,blended,70.0,40.0,2800.0,250.0,3.571428571428572,4.0,4.0,0.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,21.0,,,0,1,0,0,"Toffee, Dark Chocolate, Geranium, Cashew, Vanilla",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/82394/royal-salute-21-year-old-harris-reed-edition-pink-flagon,0,0,"Toffee, Dark Chocolate, Geranium, Cashew, Vanilla",0,0,0,0,1,0,0,0,0,0,0,0,0,0,full,rich,non,balanced,full_rich_non_balanced,"('sweet',)",1.1826119413540712,-0.2778260542264724
Dunhill HyperionBot.1990s,blended,70.0,40.0,2800.0,225.0,3.2142857142857144,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1990.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82319/dunhill-hyperion-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
William Lawson's 8 Year OldBot.1970s,blended,75.0,43.0,3225.0,150.0,2.0,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,8.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82252/william-lawsons-8-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Big T 5 Year OldBot.1980s,blended,100.0,40.0,4000.0,84.95,0.8495,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,5.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82226/big-t-5-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's Extra SpecialBot.1980s,blended,75.0,43.0,3225.0,94.95,1.266,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/82090/bells-extra-special-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dewars Double Double 32 Year Old,blended,50.0,46.0,2300.0,410.0,8.2,4.0,4.0,0.0,4.0,scotland,unknown_scotland,pedro ximenez sherry finish,sherry,,distillery bottling,0,False,32.0,,,0,1,0,0,"Dried Fruit, Raisins, Hazelnut, Honey",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/82067/dewars-double-double-32-year-old,0,0,"Dried Fruit, Raisins, Hazelnut, Honey",0,0,0,0,1,1,0,0,0,0,0,0,0,0,full,rich,non,sweet,full_rich_non_sweet,"('sweet', 'nutty')",1.2179166517423239,-0.8655373170353984
White Heather 8 Year OldBot.1980s,blended,75.0,40.0,3000.0,175.0,2.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,8.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81874/white-heather-8-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
White Heather De LuxeBot.1970s,blended,75.0,40.0,3000.0,175.0,2.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81809/white-heather-de-luxe-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Big T5 Year Old Bot.1970s,blended,75.0,40.0,3000.0,99.95,1.3326666666666669,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,5.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81808/big-t-5-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Whyte & Mackay 18 Year OldFounders Reserve Bot.1980s,blended,75.0,43.0,3225.0,150.0,2.0,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,18.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81767/whyte-mackay-18-year-old-founders-reserve-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Ballantine's 12 Year OldLitre Bot.1980s,blended,100.0,43.0,4300.0,175.0,1.75,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81509/ballantines-12-year-old-litre-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker 15 Year OldGold Label Bot.1990s,blended,75.0,43.0,3225.0,500.0,6.666666666666667,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,15.0,,1990.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/81328/johnnie-walker-15-year-old-gold-label-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Chivas Regal 25 Year Old,blended,70.0,40.0,2800.0,358.0,5.114285714285714,3.0,3.0,1.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,25.0,,,0,1,0,0,"Orange, Peach, Marzipan, Walnut, Butterscotch",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/81274/chivas-regal-25-year-old,0,0,"Orange, Peach, Marzipan, Walnut, Butterscotch",0,1,0,0,1,1,0,0,0,0,0,0,0,0,medium,round,light_smoke,balanced,medium_round_light_smoke_balanced,"('fruity', 'sweet', 'nutty')",-0.10011350072649716,0.1929127450350184
Antiquary 30 Year OldSherry Cask Finish,blended,70.0,40.0,2800.0,265.0,3.7857142857142856,4.0,4.0,0.0,3.0,scotland,unknown_scotland,sherry finish,sherry,,distillery bottling,0,Unknown,30.0,,,0,1,0,0,"Walnut, Cashew, Stewed Fruit, Plums, White Pepper, Honeycomb",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/81209/antiquary-30-year-old-sherry-cask-finish,0,0,"Walnut, Cashew, Stewed Fruit, Plums, White Pepper, Honeycomb",0,0,0,0,0,1,1,0,0,0,0,0,0,0,full,rich,non,balanced,full_rich_non_balanced,"('nutty', 'spicy')",1.1826119413540712,-0.2778260542264724
Sandy Macnab'sBot.1970s Montrose,blended,75.0,43.0,3225.0,150.0,2.0,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80826/sandy-macnabs-bot1970s-montrose,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
White HorseBot.1960s,blended,75.7,43.0,3255.1,399.0,5.270805812417437,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1960.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80752/white-horse-bot1960s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dunhill Old MasterBot.1990s,blended,70.0,43.0,3010.0,150.0,2.142857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1990.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80702/dunhill-old-master-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
House of Commons 12 Year OldBot.1980s,blended,75.0,40.0,3000.0,150.0,2.0,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80701/house-of-commons-12-year-old-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Compass Box Celestial,blended,70.0,50.0,3500.0,297.0,4.242857142857143,,,,,scotland,unknown_scotland,not specified,unknown,,compass box,1,False,,,,0,0,0,1,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80658/compass-box-celestial,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Wildmoor 30 Year Old Rugged Coast,blended,70.0,42.0,2940.0,525.0,7.5,4.0,4.0,2.0,4.0,scotland,unknown_scotland,oloroso sherry finish,sherry,,distillery bottling,0,Unknown,30.0,,,0,1,0,0,"Ash, Smoke, Stewed Fruit, Salt (powder), Toffee, Pecan",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/80624/wildmoor-30-year-old-rugged-coast,0,0,"Ash, Smoke, Stewed Fruit, Salt (powder), Toffee, Pecan",1,0,0,0,1,1,0,0,0,0,0,0,0,0,full,rich,light_smoke,sweet,full_rich_light_smoke_sweet,"('smoky', 'sweet', 'nutty')",1.2672026916342451,0.07797927594697446
Black & WhiteBot.1970s,blended,75.0,40.0,3000.0,120.0,1.6,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80218/black-white-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's 12 Year OldBot.1990s,blended,100.0,43.0,4300.0,135.0,1.35,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,12.0,,1990.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80141/bells-12-year-old-bot1990s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Isle of Skye 25 Year Old Blended Whisky,blended,70.0,40.0,2800.0,250.0,3.571428571428572,3.0,3.0,3.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,25.0,,,0,1,0,0,"Malt, Toffee, Smoke, Apricot, Pear",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/80105/isle-of-skye-25-year-old-blended-whisky,1,0,"Malt, Toffee, Smoke, Apricot, Pear",0,1,0,0,1,0,0,0,0,0,0,0,0,0,medium,round,smoky,balanced,medium_round_smoky_balanced,"('fruity', 'sweet')",-0.050827460834575976,1.136429338017391
Isle of Skye 21 Year Old Blended Whisky,blended,70.0,40.0,2800.0,118.0,1.6857142857142855,3.0,3.0,3.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,21.0,,,0,1,0,0,"Honey, Oats, Banana, Mango, Peat smoke",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/80104/isle-of-skye-21-year-old-blended-whisky,1,0,"Honey, Oats, Banana, Mango, Peat smoke",0,1,0,0,1,0,0,0,0,0,0,0,0,0,medium,round,smoky,balanced,medium_round_smoky_balanced,"('fruity', 'sweet')",-0.050827460834575976,1.136429338017391
White HorseBot.1980s,blended,75.0,43.0,3225.0,120.0,1.6,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1980.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/80018/white-horse-bot1980s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker Premier,blended,100.0,43.0,4300.0,299.0,2.99,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79999/johnnie-walker-premier,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
The Scotsman 8 Year OldBot.1970s,blended,75.0,40.0,3000.0,175.0,2.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,8.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79936/the-scotsman-8-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dimple Haig'sBot.1950s Spring Cap,blended,75.0,40.0,3000.0,250.0,3.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1950.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79913/dimple-haigs-bot1950s-spring-cap,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dewar's 12 Year OldBot.1970s,blended,75.0,43.0,3225.0,279.99,3.7332,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,1970.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79845/dewars-12-year-old-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
St. James's12 Year Old Bot.1980s Berry Bros & Rudd,blended,75.0,43.0,3225.0,120.0,1.6,,,,,scotland,unknown_scotland,not specified,unknown,berry bros & rudd,berry bros & rudd,1,Unknown,12.0,,1980.0,0,1,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79817/st-jamess-12-year-old-bot1980s-berry-bros-rudd,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Buchanan's DeluxeBot.1950s Spring Cap,blended,75.0,43.0,3225.0,325.0,4.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1950.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79787/buchanans-deluxe-bot1950s-spring-cap,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Bell's OriginalBot.2000s,blended,35.0,40.0,1400.0,14.95,0.4271428571428571,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,2000.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79771/bells-original-bot2000s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Something SpecialDe Luxe Whisky Bot.1970s,blended,75.0,40.0,3000.0,175.0,2.333333333333333,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,1970.0,0,0,1,0,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79753/something-special-de-luxe-whisky-bot1970s,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Compass Box Art & Decadence,blended,70.0,49.0,3430.0,147.0,2.1,,,,,scotland,unknown_scotland,not specified,unknown,compass box,compass box,1,False,,,,0,0,0,1,no description,no description,no description,no description,,,1,https://www.thewhiskyexchange.com/p/79555/compass-box-art-decadence,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Blended Scotch Whisky 20185 Year Old Peatsmoke on Gorgie Watt Whisky,blended,70.0,57.1,3997.0,53.75,0.7678571428571429,3.0,3.0,3.0,3.0,scotland,unknown_scotland,not specified,unknown,watt whisky,watt whisky,1,False,5.0,2018.0,,1,1,0,0,"Candied peel, Peat smoke, Coconut, Vanilla",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/73770/blended-scotch-whisky-2018-5-year-old-peatsmoke-on-gorgie-watt-whisky,1,0,"Candied peel, Peat smoke, Coconut, Vanilla",0,0,0,0,1,0,0,0,0,0,0,0,0,0,medium,round,smoky,balanced,medium_round_smoky_balanced,"('sweet',)",-0.050827460834575976,1.136429338017391
Blended Scotch Whisky 197841 Year Old The Artful Dodger,blended,50.0,49.4,2470.0,199.0,3.98,4.0,4.0,0.0,3.0,scotland,unknown_scotland,bourbon hogshead,bourbon,the artful dodger,artful dodger,1,Unknown,41.0,1978.0,,1,1,0,0,"Vanilla, Butterscotch, Ginger, Almond, Black Pepper",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/73612/blended-scotch-whisky-1978-41-year-old-the-artful-dodger,0,0,"Vanilla, Butterscotch, Ginger, Almond, Black Pepper",0,0,0,0,1,1,1,0,0,0,0,0,0,0,full,rich,non,balanced,full_rich_non_balanced,"('sweet', 'nutty', 'spicy')",1.1826119413540712,-0.2778260542264724
Cutty Sark Centenary Edition 23 Year Old,blended,70.0,52.2,3654.0,859.0,12.271428571428572,3.0,3.0,0.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,23.0,,,0,1,0,0,"Tobacco, Ginger, Malt, Candied peel",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/73565/cutty-sark-centenary-edition-23-year-old,0,0,"Tobacco, Ginger, Malt, Candied peel",0,0,0,0,0,0,1,0,1,0,0,0,0,0,medium,round,non,balanced,medium_round_non_balanced,"('spicy', 'earthy')",-0.12475652067245775,-0.278845551456168
