name,whisky_type,volume(cl),alcohol(%),alcohol_density,price(£),price_per_cl,style_body,style_richness,style_smoke,style_sweetness,country,region,casktype,cask_group,bottler,bottler_group,is_independent,colouring,age,vintage,bottling_decade,is_vintage,has_age,has_bottling_decade,is_nas,characters,nose,palate,finish,food_paring,reviews,is_no_note,url,strong_smoke,style_missing,flavour_note,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,body_tag,richness_tag,smoke_tag,sweetness_tag,flavour_pattern,family_combo,F1,F2
Maclean's Nose Blended Scotch Whisky,blended,70.0,46.0,3220.0,32.5,0.4642857142857143,3.0,2.0,3.0,1.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,"Peat smoke, Brine, Lemon, Bread, Malt",no description,no description,no description,,"Fantastic value for money. A great 'Basic' whisky. || Splendid dramming, high malt content.  A very good  tribute to charles  McLean/ argyle peninsula. || Bought this at the distillery. The only whisky (so far) that I had to say ""wow!"" when tasting. || exellent bargain . better than a lot of malts twice the price. || I can highly recommend this, its a beautiful dram and full of flavour. i'm half way through my bottle and still have to try it with a drop of H2o.
its  great tasting whisky which could easily be mistaken as a single malt",0,https://www.thewhiskyexchange.com/p/71563/macleans-nose-blended-scotch-whisky,1,0,"Peat smoke, Brine, Lemon, Bread, Malt",0,1,0,0,0,0,0,0,0,1,0,0,0,0,medium,round,smoky,dry,medium_round_smoky_dry,"('fruity', 'malty')",-0.22323599236039446,2.3530380956005743
Hankey Bannister Original,blended,70.0,40.0,2800.0,21.5,0.3071428571428571,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,no description,no description,no description,,"Thoroughly enjoyed it. Nice taste and smell. Not too harsh on the throat, but lovely with a splash of water and a clink or two of ice. Obviously not like a single malt, but drinkable non the less. I will buy again. || Not the worst whisky I have, but I don't like it. It smells OK - honey/caramel switness combined with a fair amount of alcohol and spice. But the teste is disappointing despite the layering. It has spice, a hint of smoke and fruits, but also a dark char and oil notes (in a bed way, like engine oil). Oak opens up in the finish but it quickly disappears leaving you with great amount of alcohol that anesthetized all around in your mouth. Overal, It was an interesting expericence but the next time I'd like to taste a scotch I'll definitely will take someting else in about the same price category. || One of the best whiskies I've had the pleasure of trying || The worst whisky I have ever had the misfortune of drinking. || Not a bad blend for the price at my local store in Taipei.",1,https://www.thewhiskyexchange.com/p/28714/hankey-bannister-original,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker Blue Label Diwali EditionThe Whisky Exchange Exclusive Bottle,blended,70.0,40.0,2800.0,172.0,2.4571428571428573,4.0,4.0,1.0,4.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,"Toffee, Honey, Dried Fruit, Dark Chocolate, Vanilla, Almond",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/82475/johnnie-walker-blue-label-diwali-edition-the-whisky-exchange-exclusive-bottle,0,0,"Toffee, Honey, Dried Fruit, Dark Chocolate, Vanilla, Almond",0,0,0,0,1,1,0,0,0,0,0,0,0,0,full,rich,light_smoke,sweet,full_rich_light_smoke_sweet,"('sweet', 'nutty')",1.2425596716882845,-0.39377902054421193
Johnnie Walker Sweet Peat,blended,50.0,40.8,2040.0,35.95,0.7190000000000001,3.0,2.0,2.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,"Vanilla, Caramel, Smoke, Lemon, Grass",no description,no description,no description,"Fish And Chips, Bbq Ribs, Roasted Aubergine","very enjoyable dram def give it a go || Huge fan of Black & Green Label (the latter hugely underrated), but came across this blend by chance. Really impressed. The balance of the smoke & sweat is great - I suspect Caol Ila is the star here. Lovely notes of caramel & fudge. || The Sweet Peat was a very nice and delicate scotch the peat was suttle and the maltiness was sweet toffee-like with a hint of fruit, apricots. It was very smooth and everything unique about it would fade quickly as you notice it to show other complexities about it. || A lovely blend. Very little peat on the nose but a delightful blend of sherry and peat on the palate all the way through to the finish. A fine addition to the JW brand. || Bought this on a trip to your Covent Garden shop in January and cracked it open on recently. Superb and without a doubt one of the finest blends I've tried. Highly recommended.",0,https://www.thewhiskyexchange.com/p/46949/johnnie-walker-sweet-peat,0,0,"Vanilla, Caramel, Smoke, Lemon, Grass",0,1,0,1,1,0,0,0,0,0,0,0,0,0,medium,round,light_smoke,balanced,medium_round_light_smoke_balanced,"('fruity', 'herbal', 'sweet')",-0.17726959152984992,0.7058572734915362
Johnnie Walker Gold Label ReserveGlass Set,blended,70.0,40.0,2800.0,57.25,0.8178571428571428,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,no description,no description,no description,no description,,"Hi my partner loved the products i bought from you, he is a collector of the Johnnie walker products and has not opened the products i have bought him, he is extremely happy with adding to his collection though, i've had such an amazing experience with use even with the time difference and as my order was around the queen passing away, you were all very punctual and amazing with all the responses i received will definitely buy from use again.",1,https://www.thewhiskyexchange.com/p/57218/johnnie-walker-gold-label-reserve-glass-set,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Isle of Skye 12 Year Old Blended Whisky,blended,70.0,40.0,2800.0,32.95,0.4707142857142857,3.0,3.0,3.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,12.0,,,0,1,0,0,"Apricot, Dark Chocolate, Peat smoke, Gooseberry",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/80102/isle-of-skye-12-year-old-blended-whisky,1,0,"Apricot, Dark Chocolate, Peat smoke, Gooseberry",0,1,0,0,1,0,0,0,0,0,0,0,0,0,medium,round,smoky,balanced,medium_round_smoky_balanced,"('fruity', 'sweet')",-0.050827460834575976,1.136429338017391
Cutty Sark Prohibition,blended,70.0,50.0,3500.0,28.5,0.4071428571428571,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,no description,no description,no description,,"Great stuff, very enjoyable || Prohibition blend as I always called it, the perfect mellow taste is awesome, on the rocks as I prefer. I recommend it among my friends which they also enjoy it. || Nose: Coconut, vanilla Palate: Creamy, Oily, sweet Finish: Slightly peppery (not astringent or harsh), mouth-watering I sincerely hope they don’t stop making this, I don’t have an alternative that’s this good at this price point (or even a little higher.) || No big fancy words and descriptions which mean absolutely nothing when describing whisky.Trust me,ive been drinking whisky for 30 years and the only way to decide if you like a particular one is to try it yourself.All i can tell you is that I really like this,particularly at the price || I haven't received it yet?",1,https://www.thewhiskyexchange.com/p/29625/cutty-sark-prohibition,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Grand Old Parr 12 Year OldLitre,blended,100.0,40.0,4000.0,57.95,0.5795,3.0,3.0,1.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,12.0,,,0,1,0,0,"Caramel, Stewed Fruit, Lemon, Orange, Peat smoke, Raisins",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/72478/grand-old-parr-12-year-old-litre,0,0,"Caramel, Stewed Fruit, Lemon, Orange, Peat smoke, Raisins",0,1,0,0,1,0,0,0,0,0,0,0,0,0,medium,round,light_smoke,balanced,medium_round_light_smoke_balanced,"('fruity', 'sweet')",-0.10011350072649716,0.1929127450350184
Ballantine's Finest True Music Icons Elton John Edition,blended,70.0,40.0,2800.0,25.5,0.3642857142857142,3.0,3.0,0.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,,,,0,0,0,1,"Malt, Apple, Honeysuckle, Honeycomb, Pear",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/47977/ballantines-finest-true-music-icons-elton-john-edition,0,0,"Malt, Apple, Honeysuckle, Honeycomb, Pear",0,1,1,0,0,0,0,0,0,0,0,0,0,0,medium,round,non,balanced,medium_round_non_balanced,"('fruity', 'floral')",-0.12475652067245775,-0.278845551456168
Ballantine's Finest,blended,70.0,40.0,2800.0,23.75,0.3392857142857143,2.0,1.0,1.0,2.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,"Malt, Caramel, Smoke, Toffee, Apple",no description,no description,no description,,"Ballantine's Finest is quite light, floral with short finish, not much smoke.  Personally not my taste but this is a good mixer. || Ballentines blended whisky is second to none for peaty smokiness, a strong taste of chocolate & blackberries on ghe pallett.  It has an aromatic nose with a surprisingly subtle aftertaste of lemon. || Higher standard of supermarket whiskeys.  Not to sharp or bitter. Quite smooth. A fruity and butterscotch taste on the palate, but looses something on the back end. Decent entry level whiskey. Can't complain with what you get for the price || Nice and smooth. Beautiful whiskey for the price. || The first Scotch I been drinking as a student in clubs. But even than I tasted to much on ethanol  and had a kind of acetone finish. Two ice cubes, or sip of soda, or Cola, would make it better.  Still, I always have it in home bar. It still tastes better than JW Red. For my taste Teacher's is best in this price range.",0,https://www.thewhiskyexchange.com/p/419/ballantines-finest,0,0,"Malt, Caramel, Smoke, Toffee, Apple",0,1,0,0,1,0,0,0,0,0,0,0,0,0,medium,lean,light_smoke,balanced,medium_lean_light_smoke_balanced,"('fruity', 'sweet')",-1.5445857838905923,0.82079074257958
